Mean,Std
-500.0,0.0
-500.0,0.0
-438.4,112.993097134294
-396.2,81.6906359382763
-478.2,43.599999999999994
-434.8,96.26297315167447
-438.8,122.40000000000002
-423.4,100.5576451593811
-381.0,99.36196455384726
-394.0,92.37315627388728
-381.6,146.32921786164238
-323.0,100.38127315391053
-329.4,145.1683161023782
-292.0,170.9537949271674
-293.6,169.00248518882793
-288.4,120.23244154553296
-254.8,137.04656143077798
-263.4,150.32311864779814
-315.8,156.44219379694215
-218.2,148.61951419648767
-294.4,161.9031809446621
-216.0,147.849923909348
-225.2,139.78039919817084
-267.6,142.5448701286721
-222.8,143.27511996156207
-219.0,143.73308596144452
-213.8,145.63158997964692
-220.0,141.34072307725046
-201.4,155.11492513617122
-210.4,148.03323951059102
-200.6,150.20466038042892
-198.6,154.10463977440781
-213.6,153.6419213626281
-211.8,147.5891594935075
-208.6,148.33961035407904
-189.6,155.4600913417974
-212.6,150.9550926600358
-197.4,153.15168951075924
-205.4,150.20199732360422
-198.6,152.6507124123566
-200.8,152.73951682521457
-204.8,149.9058371111679
-210.6,148.07106401994955
-191.6,156.30815717677692
-205.2,148.64373515220882
-190.6,155.6773586620739
-212.8,147.24863327039745
-191.4,158.68534904016818
-211.6,147.42944075048237
-207.6,148.90614493700386
-194.8,153.46973643034642
-205.2,151.74373133675078
-193.8,137.4050945198176
-208.8,147.91402908446514
-212.2,122.45064311795181
-206.6,148.89136979690932
-197.2,154.93146872085092
-192.0,156.80306119460806
-202.8,150.60730393974922
-228.2,146.10462005015447
-221.2,145.67827566250227
-201.2,151.29494373573758
-201.8,150.88591716923088
-197.8,152.49314738702196
-210.0,148.64050591948347
-208.6,150.40691473466237
-209.2,152.65307071919648
-195.6,153.41786075943048
-200.2,152.8743274719467
-203.0,150.5629436481633
-213.2,144.19348112865575
-183.2,158.85137707933163
-192.2,154.89273707956744
-193.4,155.15102319997766
-194.6,154.95237978166065
-197.2,155.38133736070108
-188.2,156.36291120339246
-191.2,156.57381645728637
-191.2,156.37314347419124
-189.4,157.91845997222745
-183.8,158.5489198954064
-207.8,150.3321655534836
-204.6,152.7541816121575
-180.6,160.3865331005069
-187.8,159.6288194531301
-209.8,149.3363987780608
-192.4,155.79807444252964
-191.4,154.92269039750119
-183.6,158.27646698103922
-227.4,163.3004592767577
-193.0,154.36061673885604
-184.4,158.52520304355394
-193.4,157.00267513644474
-183.8,158.19405804264582
-182.8,161.33369145965762
-191.6,154.79870800494427
-220.6,152.91513986522065
-181.6,160.68677605826807
-194.4,156.23648741571222
-180.6,160.3516136495046
-208.0,150.34360644869471
-175.4,163.26371305345228
-179.0,161.05030270074005
-190.6,156.502523941309
-198.0,152.69315636268706
-188.0,158.00886051104857
-176.8,161.96468750934568
-226.6,155.9558912000441
-188.8,156.84438147412232
-200.0,152.2786918777542
-190.4,157.17582511315157
-189.6,162.0180236887242
-192.8,155.24999194847
-176.8,161.8460997367561
-179.0,161.39640640361233
-190.4,157.44662587683487
-194.2,156.0492230035126
-200.6,155.17164689465662
-195.0,154.28156079065315
-178.0,162.05801430352034
-208.2,152.30022980941294
-180.8,160.39875311236057
-199.4,154.56338505609924
-177.4,161.87723743627453
-199.6,151.80197627172052
-218.8,149.12196350638627
-196.0,152.52147389794
-195.8,155.8003851086383
-208.6,148.07511607289052
-206.8,150.36675164410516
-200.0,153.92075883388827
-212.8,152.81282668676738
-210.4,148.75160503335755
-198.2,153.33414492538836
-218.2,143.49132377952336
-220.2,153.72234710672356
-189.0,156.63077603076607
-235.6,154.77028138502558
-200.0,153.85837643755377
-208.0,148.19986504717204
-195.8,153.63515222760708
-230.4,140.87810333760177
-187.8,156.72191933485246
-210.8,145.34565696985928
-192.4,155.52440322984688
-222.0,144.87649912943093
-194.2,159.28891989087
-185.4,157.71315734586003
