Mean,Std
20.6,8.867919710958146
21.6,9.350935782048769
17.6,7.1442284397967
17.0,8.532291603080617
22.6,9.068627239003707
18.8,7.467261881037787
16.6,5.885575587824865
17.4,4.882622246293481
19.2,6.49307323229917
28.4,14.540976583434826
21.6,16.414627622946554
20.4,3.5552777669262356
13.6,1.8547236990991407
20.0,3.40587727318528
28.0,11.242775458044157
32.6,21.37849386650051
22.2,9.368030742904295
23.6,16.156732342896568
26.6,24.80806320533709
18.6,6.3118935352238
19.4,7.059745037889116
22.0,5.89915248150105
18.4,4.127953488110059
22.8,8.447484832777151
30.6,22.89628790874189
26.0,19.677398201998148
28.2,25.118917174114014
47.8,62.0947662850904
61.4,90.49110453519727
76.6,114.32689972180651
62.2,77.0490752702458
73.0,101.29363257381976
86.4,95.43081263407537
104.2,104.73089324549849
144.8,101.05523242267073
146.4,85.17417448968907
209.8,87.00896505533208
252.8,94.23884549377713
293.4,74.23637922204989
255.0,96.24759737260977
246.0,29.516097302997224
274.8,86.15660160428799
352.8,126.1671906638172
219.8,44.20588196156706
239.2,61.57726853312024
227.0,80.12739856004312
191.6,38.50506460194555
222.6,50.046378490356325
257.8,13.804347141389918
188.4,53.40262165849164
174.4,58.94946988735352
194.2,47.334553974871255
163.8,56.13697533711627
250.4,107.36964189192399
206.6,86.10133564585395
193.8,81.09105992648017
249.8,54.35586444901783
265.8,70.7768323676611
211.8,58.64946717575531
250.6,45.160159432845234
260.4,121.83529866175894
201.6,85.81515017757646
234.2,52.753767637961175
223.0,38.61087929586686
237.8,43.62292975030448
256.6,23.43160259137219
221.4,48.37602712087879
206.4,80.57691977235169
252.2,90.9030252521884
199.2,26.678830559078108
237.2,66.19184239768522
315.6,103.27555373853002
234.8,59.46562031964351
303.6,118.72590281821402
312.2,118.11587530895244
283.4,102.71046684734715
345.2,131.5315931630116
286.8,111.94713037858541
291.4,138.8403399592496
283.0,117.48191350161096
327.0,106.4030074762927
319.2,79.3155722415214
383.8,95.7275300005176
258.6,127.31315721479851
363.4,81.23939930846362
271.0,85.07408536093703
291.4,132.1704959512523
289.4,89.05863237216255
327.6,109.55290959166717
271.2,102.57173099836035
305.2,132.75752332730525
305.8,134.87090123521824
304.0,115.35163631262454
344.4,90.42477536604666
322.0,102.58459923399809
314.2,62.78662277906019
334.6,98.84857105694547
377.2,122.01540886297926
348.2,91.65893300709975
367.2,87.90312849950223
326.6,90.85725067379047
307.4,122.58645928486555
269.4,122.55219296283524
403.4,120.3056108417226
359.6,85.38524462692602
377.2,131.61975535610145
357.2,48.85652464103438
338.4,132.54221968867128
333.4,122.55872061995426
325.8,148.59125142483995
286.4,125.91838626666083
288.4,121.32864459805032
319.0,92.8245657140393
332.6,122.71853975663171
278.6,121.21980036281201
293.0,127.01023580798518
336.2,142.0568900124172
271.4,122.67615905301241
273.0,124.20466979948861
341.8,146.3098082836554
319.6,150.96569146663754
295.0,119.20738232173375
299.2,103.63667304579012
375.4,93.137747449678
327.6,106.17457322730333
284.0,80.01749808635608
287.6,36.98972830394946
322.0,148.6701045940306
320.2,101.89681054871149
369.6,109.99381800810444
378.8,101.48182103214349
406.2,102.40390617549704
359.8,115.53250624824166
374.8,120.35015579549533
354.4,120.73541319761986
354.6,144.35456348865455
335.6,145.06495097024643
372.2,100.25846597669445
380.6,107.1104103250473
332.8,153.06913470716427
317.0,130.29811971014777
291.8,109.63466605047876
312.6,106.6875812829216
336.0,120.06831388838606
284.8,139.95199176860615
270.6,105.58522623928029
320.2,149.7923896598222
308.6,137.88342902611612
324.0,150.94502310444025
375.4,122.80162865369499
321.8,114.83100626572946
340.2,110.97098719935767
348.6,133.2510412717289
399.4,125.47127161226986
439.6,76.52868743157693
400.8,90.8436018660643
459.0,82.0
399.0,87.04481604323144
445.6,56.36168911592342
428.8,102.11052835041058
360.0,126.79589898730953
346.4,148.27622870844806
303.0,120.99256175484508
292.4,129.51386026213567
338.8,149.884488857253
333.6,152.48422869267498
291.2,131.86568924477663
284.6,137.34569523650896
282.0,139.34848402476433
314.4,168.4881004700332
298.2,162.7002151197103
339.4,142.29771607443317
350.0,152.7599423932858
392.0,98.08567683408215
470.8,44.17420061529128
389.2,105.4237164968111
500.0,0.0
472.2,55.599999999999994
469.8,46.477521448545424
400.4,103.5559752018202
431.4,102.65982661197124
435.6,78.96480228557532
456.8,56.42481723497206
450.6,62.61501417391838
464.2,44.5528899174902
424.4,99.5441610542778
408.0,115.34470078854945
420.0,127.90621564255585
419.0,127.806103140656
434.6,130.8
396.2,119.76042752094699
422.0,124.0
431.2,127.35996231155221
429.4,131.9054206619273
420.2,131.66685232054422
430.0,102.21350204351674
430.4,77.85781913205635
471.8,56.4
441.4,78.12707597241817
500.0,0.0
454.8,61.130679695223414
433.8,91.33761547139274
494.2,11.6
458.4,43.67424870561599
432.8,84.95975517855499
443.4,73.90155614058476
428.4,107.02074565242012
421.8,110.61356155553442
356.8,119.28017437948354
484.2,31.6
406.0,117.73869372470547
495.2,9.108238029388561
412.0,110.70682002478438
479.6,28.910897599348242
428.4,94.84851079484591
445.6,108.8
469.2,61.6
463.8,72.4
469.8,60.4
458.4,57.45815868960648
480.2,30.215227948834013
495.6,8.799999999999999
500.0,0.0
461.8,47.9432998447124
497.8,4.3999999999999995
500.0,0.0
470.8,58.4
500.0,0.0
500.0,0.0
460.0,80.0
426.4,147.2
426.2,147.6
500.0,0.0
500.0,0.0
499.0,2.0
493.4,13.2
463.4,63.22531138713356
433.8,81.30043050316523
412.8,107.87103411018177
437.8,105.54316652441311
437.6,124.8
476.6,46.800000000000004
430.0,140.0
500.0,0.0
423.6,134.6069834741125
420.2,136.42639040889415
414.8,133.63442670210395
427.4,145.20000000000002
418.8,118.8854911248635
411.6,128.3520159561197
392.6,134.64857964345558
480.2,39.6
481.4,37.2
478.6,42.800000000000004
500.0,0.0
440.8,59.03016178192298
453.0,94.0
469.0,62.0
453.2,63.17404530343138
491.8,16.400000000000002
473.6,52.800000000000004
479.8,40.400000000000006
478.6,42.800000000000004
489.6,20.8
488.0,24.0
487.4,21.86869909253863
500.0,0.0
496.0,8.0
495.4,9.2
464.6,43.449280776556016
417.4,92.43073082043655
487.4,25.2
472.8,35.005142479355804
439.8,75.0903455845024
448.4,65.80455911257214
415.6,80.8618575102007
467.4,51.52708025883089
416.4,105.31780476253766
442.8,74.27085565684564
392.2,78.43825597245262
417.4,77.92457892090275
426.0,94.8071727244305
426.2,90.51055187103877
440.6,72.86590423510849
418.8,89.52184091047279
439.2,89.32278544693958
402.8,74.37580251667877
439.4,85.62149262889545
451.4,63.181009805162184
431.8,114.79094040907584
419.6,123.93804904063967
421.4,128.04624164730492
422.0,137.33317152094028
379.2,128.05842416647175
416.0,142.9811176344625
423.4,148.74084845798075
386.6,149.97813173926392
425.0,150.0
425.6,148.8
425.2,149.60000000000002
423.0,154.0
386.2,147.18206412467518
424.0,152.0
423.2,153.60000000000002
423.6,152.79999999999998
424.8,150.39999999999998
357.2,175.78782665474876
296.0,191.4001044931794
425.8,148.4
426.2,147.6
424.2,151.6
428.6,142.79999999999998
391.8,136.4483785172986
430.2,139.60000000000002
431.0,138.0
434.0,132.0
386.4,123.21460952338404
500.0,0.0
460.0,80.0
452.2,95.60000000000001
475.6,48.8
442.8,114.39999999999999
464.0,72.0
397.6,101.72629945102692
443.0,52.82423686150137
472.6,54.8
475.2,49.6
497.0,6.0
500.0,0.0
437.4,125.20000000000002
430.0,140.0
388.2,139.53981510665693
450.4,99.2
457.4,85.2
470.2,36.56446362248461
460.2,79.6
462.4,52.84921948335661
461.2,77.60000000000001
500.0,0.0
500.0,0.0
475.4,49.2
489.6,20.8
467.6,64.8
479.6,40.800000000000004
500.0,0.0
494.4,11.2
459.4,81.2
470.2,59.6
448.0,72.56721022610694
489.6,20.8
478.0,44.0
464.0,72.0
432.8,134.39999999999998
455.6,88.80000000000001
494.2,11.6
427.8,144.39999999999998
500.0,0.0
473.0,39.1509897703749
500.0,0.0
500.0,0.0
500.0,0.0
454.4,91.19999999999999
461.8,76.39999999999999
448.4,103.2
457.4,85.2
496.8,6.3999999999999995
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
486.0,28.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
497.6,4.8
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
485.8,28.4
500.0,0.0
500.0,0.0
500.0,0.0
431.6,108.08996253121748
500.0,0.0
500.0,0.0
500.0,0.0
475.0,50.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
475.4,49.2
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
499.8,0.4
450.2,99.6
500.0,0.0
484.2,31.6
469.0,62.0
495.6,8.8
500.0,0.0
500.0,0.0
500.0,0.0
488.8,22.400000000000002
500.0,0.0
500.0,0.0
500.0,0.0
463.0,74.0
489.2,21.6
500.0,0.0
478.8,42.4
500.0,0.0
500.0,0.0
499.2,1.6
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
447.6,104.8
500.0,0.0
453.2,93.6
452.6,94.8
422.4,115.58131336855452
447.4,105.19999999999999
475.4,49.2
458.6,82.8
439.0,122.0
436.2,127.6
500.0,0.0
500.0,0.0
469.0,62.0
500.0,0.0
431.2,137.6
460.6,78.8
465.2,42.62581377522311
478.0,44.0
439.2,106.77715111389702
462.8,74.39999999999999
500.0,0.0
500.0,0.0
459.2,81.60000000000001
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
447.2,105.60000000000001
347.6,192.58411149417284
500.0,0.0
420.2,105.66437431793177
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
421.0,158.0
421.2,157.6
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
488.8,22.400000000000002
409.8,178.90377301778742
424.8,150.4
500.0,0.0
500.0,0.0
496.2,7.6000000000000005
497.6,4.8
449.2,101.60000000000001
448.6,102.8
454.2,91.60000000000001
493.0,14.0
399.6,123.49024252952134
419.4,161.2
419.2,161.6
500.0,0.0
486.2,27.6
433.2,133.6
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
463.0,74.0
457.4,85.2
482.4,35.2
465.6,68.8
500.0,0.0
466.0,68.0
457.8,84.39999999999999
474.6,50.8
451.8,96.39999999999999
451.0,98.0
392.2,132.60226242413813
445.8,108.4
449.0,102.0
466.0,68.0
498.0,4.0
500.0,0.0
500.0,0.0
475.2,49.6
500.0,0.0
476.0,48.0
481.6,36.800000000000004
440.0,82.13160171334783
471.0,58.0
472.8,54.4
442.8,83.55453309067079
499.6,0.8
457.2,75.99578935704267
482.0,36.0
476.6,46.800000000000004
463.0,74.0
493.4,13.2
438.8,122.4
500.0,0.0
439.4,119.70563896492095
437.4,125.20000000000002
439.6,120.80000000000001
433.8,132.4
500.0,0.0
492.8,14.4
429.2,141.6
500.0,0.0
456.0,88.0
387.6,145.8116593417687
500.0,0.0
483.8,32.4
479.4,41.2
500.0,0.0
435.8,85.85196561523796
443.0,73.72923436466705
419.2,100.53138813325916
463.8,72.4
500.0,0.0
416.2,167.6
500.0,0.0
462.8,74.39999999999999
477.2,45.599999999999994
489.2,21.6
470.8,58.4
466.0,68.0
464.8,70.4
483.6,32.8
451.4,97.19999999999999
358.2,122.02360427392726
419.4,101.52359331702164
460.6,78.8
479.2,41.6
500.0,0.0
437.0,105.38690620755503
454.6,90.8
490.4,10.307278981380101
439.6,120.8
500.0,0.0
500.0,0.0
403.8,134.47735868911167
492.6,14.8
496.6,6.8
485.0,30.0
375.2,188.71290363936433
402.6,194.8
402.0,196.0
345.2,187.39839913937365
362.8,192.03999583420116
401.8,196.4
402.0,196.0
402.4,195.2
401.8,196.4
402.0,196.0
402.0,196.0
402.2,195.6
402.0,196.0
388.2,191.4203750910545
402.0,196.0
341.0,203.33224043422135
347.8,198.6357470346161
348.2,198.84104204112387
386.0,190.53608582103286
401.8,196.4
402.0,196.0
402.2,195.6
402.0,196.0
351.4,197.066080287806
338.4,205.0898339752607
401.8,196.4
394.4,193.3934848954328
402.0,196.0
402.0,196.0
401.8,196.4
402.2,195.6
402.2,195.6
402.0,196.0
402.2,195.6
402.6,194.8
376.4,187.52450506533808
402.6,194.8
395.6,190.36974549544365
432.6,134.8
471.0,58.0
402.6,194.8
377.2,118.74914736536006
484.8,30.400000000000002
490.8,18.400000000000002
470.0,37.94733192202055
486.6,16.91862878604528
487.6,24.799999999999997
462.4,75.2
500.0,0.0
445.4,109.2
490.4,19.200000000000003
468.4,63.2
473.8,52.4
421.0,158.0
423.0,154.0
403.0,153.02287410710858
397.8,153.50361559259767
422.0,156.0
424.4,151.2
426.8,146.4
403.6,132.76234405884824
434.8,130.39999999999998
439.6,120.80000000000001
449.0,102.0
462.2,75.6
500.0,0.0
443.2,113.6
435.0,130.0
437.2,125.6
390.2,125.63821074816373
409.6,132.46977013643527
429.2,141.6
500.0,0.0
469.6,60.800000000000004
403.2,148.35012639023938
421.2,157.6
422.8,154.39999999999998
429.2,141.6
500.0,0.0
500.0,0.0
440.8,93.36251924621573
500.0,0.0
500.0,0.0
500.0,0.0
500.0,0.0
433.0,134.0
434.2,131.6
500.0,0.0
500.0,0.0
494.8,10.4
484.4,31.2
485.8,28.4
500.0,0.0
418.6,137.8370051909138
347.2,195.6061348731169
435.2,129.60000000000002
